User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000424,P00351842,M,26-35,17,A,3,0,5,,,5258
1000424,P00238442,M,26-35,17,A,3,0,6,,,16323
1000425,P00331942,M,26-35,12,B,1,1,5,,,7143
1000426,P00002142,M,18-25,4,A,1,1,1,5,8,15169
1000429,P00339542,M,18-25,0,C,1,0,1,,,11493
1000431,P00059442,M,18-25,10,B,3,0,6,8,16,16263
1000435,P00253142,M,26-35,7,A,4+,0,1,2,5,11815
1000438,P0096842,M,18-25,11,A,3,0,3,4,12,10947
1000438,P00054342,M,18-25,11,A,3,0,7,,,16544
1000439,P00359742,M,36-45,14,B,3,1,1,5,,11968
1000442,P00221542,M,26-35,1,A,2,0,5,15,,7083
1000444,P00294842,M,55+,0,A,3,0,8,,,7900
1000445,P00295842,M,46-50,12,A,1,1,5,8,,3610
1000449,P00117042,M,26-35,7,C,3,0,1,2,5,19334
1000451,P00176142,M,55+,13,C,4+,1,8,,,8003
1000453,P00211142,M,18-25,4,B,1,0,5,,,5424
1000454,P00059442,M,26-35,20,C,2,1,6,8,16,20086
1000456,P00251242,M,36-45,0,A,0,0,5,11,,8880
1000457,P00144642,M,18-25,4,B,2,0,1,15,16,8070
1000457,P00002042,M,18-25,4,B,2,0,1,,,7681
1000461,P00127042,M,51-55,7,B,0,0,4,5,,2164
1000461,P00268442,M,51-55,7,B,0,0,8,17,,6127
1000462,P00320942,M,18-25,16,C,1,1,1,4,9,11587
1000466,P00100642,M,26-35,5,A,2,0,5,15,,7101
1000466,P00115742,M,26-35,5,A,2,0,6,10,16,16310
1000471,P00032042,M,36-45,7,A,3,0,1,2,15,8298
1000474,P0099242,M,26-35,17,B,1,0,8,14,,2208
1000474,P00210042,M,26-35,17,B,1,0,8,14,,7763
1000476,P00266442,M,36-45,0,B,0,0,5,,,8739
1000476,P00151042,M,36-45,0,B,0,0,5,,,7000
1000479,P00003442,M,26-35,12,C,0,0,4,5,8,2841
1000482,P00175642,M,26-35,14,A,2,1,8,,,7764
1000482,P00054042,M,26-35,14,A,2,1,18,,,3054
1000482,P00238442,M,26-35,14,A,2,1,6,,,12370
1000482,P00113842,M,26-35,14,A,2,1,6,8,16,16058
1000483,P00212242,M,18-25,12,A,4+,0,8,,,9931
1000492,P00058442,M,26-35,12,A,0,0,5,14,,8658
1000498,P00101042,M,36-45,17,A,1,0,5,12,,5420
1000499,P00195542,F,26-35,1,A,1,0,2,12,,12773
1000501,P00294442,M,26-35,2,C,4+,1,3,4,12,10926
1000506,P00250342,M,26-35,16,C,1,0,16,,,16276
1000508,P00174242,M,26-35,12,B,0,0,15,16,,16827
1000509,P00192042,M,26-35,2,A,0,1,5,9,14,5228
1000509,P00024742,M,26-35,2,A,0,1,8,11,,7894
1000509,P00032042,M,26-35,2,A,0,1,1,2,15,11829
1000510,P00183342,M,18-25,12,C,3,0,5,15,18,8638
1000514,P00021742,M,26-35,2,A,1,1,5,,,8576
1000516,P00246342,F,55+,14,C,2,0,11,15,,7470
1000517,P0094342,F,26-35,14,A,1,0,4,5,18,2109
1000518,P00248742,F,36-45,12,C,4+,0,5,,,8803
1000520,P00298442,F,36-45,20,A,2,0,16,,,16901
1000523,P00266642,M,51-55,7,A,1,1,1,8,9,15262
1000524,P00014542,M,18-25,0,A,0,0,8,,,6183
1000524,P00102442,M,18-25,0,A,0,0,8,,,9700
1000524,P00156742,M,18-25,0,A,0,0,5,6,8,3634
1000524,P00041042,M,18-25,0,A,0,0,1,16,,15746
1000529,P00010742,M,36-45,12,C,1,0,1,8,17,19549
1000530,P00184342,M,26-35,2,A,1,1,8,,,9705
1000531,P00155342,F,18-25,14,B,0,0,5,13,,3552
1000531,P00190342,F,18-25,14,B,0,0,4,12,,3516
1000531,P00325742,F,18-25,14,B,0,0,2,9,,10072
1000533,P00110542,M,26-35,12,A,1,0,8,,,7983
1000533,P00154642,M,26-35,12,A,1,0,8,,,6021
1000533,P00221142,M,26-35,12,A,1,0,1,,,7792
1000536,P00280142,M,26-35,20,C,1,0,5,11,,5433
1000539,P00035542,M,26-35,2,C,4+,0,3,4,12,8251
1000541,P00022942,F,18-25,4,C,3,0,5,8,,7153
1000543,P00057742,M,26-35,5,B,4+,1,2,8,18,16002
1000543,P00120342,M,26-35,5,B,4+,1,5,17,,8643
1000543,P0096642,M,26-35,5,B,4+,1,2,3,4,12831
1000546,P00053642,F,26-35,0,B,0,0,7,,,12591
1000548,P00116842,F,36-45,16,C,1,1,2,5,8,12924
1000549,P0099442,M,26-35,6,A,3,0,6,8,,19946
1000549,P00360542,M,26-35,6,A,3,0,16,,,20872
1000549,P00282642,M,26-35,6,A,3,0,5,,,8861
1000549,P00274242,M,26-35,6,A,3,0,1,,,19258
1000550,P00190042,M,46-50,8,B,1,1,3,4,5,11074
1000550,P0097342,M,46-50,8,B,1,1,1,15,16,7738
1000550,P00240442,M,46-50,8,B,1,1,6,16,,12422
1000551,P00220442,M,36-45,20,A,4+,1,5,14,,8870
1000551,P00247042,M,36-45,20,A,4+,1,5,14,,7085
1000553,P00036242,M,26-35,2,B,1,0,5,8,,7068
1000560,P00248942,M,46-50,15,C,1,1,1,6,14,19409
1000563,P00112642,M,26-35,4,A,3,0,1,2,5,11871
1000565,P00367242,M,26-35,16,B,0,0,11,,,3163
1000566,P00062842,M,26-35,17,A,3,0,1,2,13,8297
1000566,P00210342,M,26-35,17,A,3,0,3,4,,8101
1000569,P00302442,F,18-25,4,C,3,1,5,6,,7064
1000570,P00054242,M,26-35,4,A,4+,0,1,6,14,11638
1000571,P00277542,M,51-55,5,C,3,1,1,6,15,4234
1000575,P00277642,M,26-35,12,B,0,1,2,3,10,12899
1000580,P00120742,M,0-17,10,C,1,0,8,12,17,5921
1000582,P00247142,M,18-25,4,C,4+,0,8,15,16,4226
1000585,P00366542,M,18-25,1,A,1,0,5,,,7033
1000587,P00205942,M,26-35,20,B,3,0,5,8,14,6938
1000587,P00101842,M,26-35,20,B,3,0,6,16,,20435
1000588,P00126142,F,26-35,11,B,1,0,8,16,,10062
1000588,P00110042,F,26-35,11,B,1,0,5,14,,6958
1000590,P00366542,F,36-45,6,C,1,0,5,,,6958
1000592,P00149442,M,18-25,0,A,1,1,1,8,16,11421
1000594,P00100742,F,55+,13,B,3,0,5,17,,8577
1000597,P00250342,M,36-45,12,C,3,1,16,,,12381
1000601,P00164942,F,18-25,20,B,3,1,1,8,,8242
1000602,P00355142,F,55+,6,C,2,0,1,15,,4065
1000604,P00229342,M,46-50,17,C,2,1,5,14,,5289
1000605,P00042842,F,18-25,4,C,0,0,5,,,3697
1000608,P00326742,M,18-25,4,C,3,1,11,,,3218
1000610,P00346242,M,26-35,4,B,1,0,1,15,,11773
1000612,P00351142,M,51-55,7,C,1,0,1,8,17,11635
1000618,P00254242,M,26-35,0,B,3,0,5,11,12,5172
1000620,P00256642,M,18-25,0,A,3,0,5,,,5284
1000623,P00366442,M,26-35,17,C,3,1,8,12,,8125
1000624,P00178642,M,26-35,1,B,3,0,5,15,,3599
1000624,P00213742,M,26-35,1,B,3,0,8,,,10049
1000627,P00361842,M,51-55,2,C,2,1,15,16,,8985
1000630,P00086042,F,36-45,14,C,2,0,8,14,17,9733
1000631,P00112542,M,36-45,17,C,3,1,1,11,15,19688
1000631,P00159442,M,36-45,17,C,3,1,5,8,,8636
1000635,P0098742,M,55+,17,C,4+,1,8,,,7907
1000637,P00233742,M,36-45,12,B,2,1,1,15,,7799
1000637,P00172842,M,36-45,12,B,2,1,3,4,,10914
1000638,P00330242,M,26-35,6,C,1,1,5,,,5263
1000639,P00265742,M,46-50,17,B,2,1,5,12,,5242
1000639,P00102842,M,46-50,17,B,2,1,8,,,7879
1000644,P00304142,M,26-35,20,C,2,1,5,11,,8758
1000646,P00110742,M,36-45,7,C,2,0,1,2,8,15194
1000646,P00145042,M,36-45,7,C,2,0,1,2,5,19440
1000647,P00356742,M,36-45,12,B,1,1,5,,,7086
1000648,P00270542,F,26-35,12,B,1,1,1,6,8,15666
1000651,P00042742,M,36-45,7,B,2,0,5,14,,5193
1000651,P00127542,M,36-45,7,B,2,0,1,2,15,11419
1000654,P00193542,M,51-55,7,C,4+,1,1,2,,11424
1000655,P00347042,F,26-35,2,B,2,0,8,,,3993
1000656,P00331542,F,46-50,16,C,3,1,5,8,,6878
1000659,P00194542,F,26-35,0,C,4+,0,8,14,,7948
1000663,P00258842,F,26-35,7,A,1,0,5,,,6922
1000666,P00173342,F,18-25,0,C,2,0,1,6,14,15271
1000668,P00042942,F,26-35,3,C,2,0,1,15,,15340
1000669,P00282642,M,26-35,17,B,2,0,5,,,7128
1000669,P00031142,M,26-35,17,B,2,0,16,,,16205
1000671,P00350942,M,18-25,4,C,0,0,3,4,5,10787
1000673,P00118942,M,26-35,20,A,4+,0,8,,,9789
1000673,P00107642,M,26-35,20,A,4+,0,5,,,6875
1000676,P00080042,M,18-25,16,B,1,1,5,14,,3709
1000676,P00002242,M,18-25,16,B,1,1,6,8,16,16021
1000677,P00137142,M,51-55,2,B,1,1,13,,,948
1000678,P00182642,M,26-35,0,A,0,1,2,4,9,13091
1000678,P00158042,M,26-35,0,A,0,1,8,,,6027
1000678,P00052042,M,26-35,0,A,0,1,1,,,12062
1000679,P00117442,M,36-45,16,C,4+,1,5,14,,7066
1000685,P00223142,M,26-35,4,A,1,1,5,,,5402
1000687,P00140742,F,26-35,7,C,4+,0,1,15,,15413
1000689,P00277442,F,51-55,0,A,0,1,1,6,15,19597
1000691,P00161942,M,36-45,11,B,2,1,5,8,,8761
1000692,P00346242,F,26-35,0,A,0,1,1,15,,15810
1000692,P00358942,F,26-35,0,A,0,1,11,15,,1731
1000695,P00219042,F,18-25,1,A,2,0,5,,,5208
1000698,P00001042,M,18-25,4,A,1,0,1,2,16,7954
1000702,P00362642,M,36-45,7,B,2,1,8,18,,7939
1000702,P00260142,M,36-45,7,B,2,1,5,14,,5146
1000705,P00122442,M,26-35,4,C,0,1,1,11,15,4199
1000706,P00154742,M,36-45,20,B,2,0,8,14,16,7945
1000710,P00274542,M,26-35,20,A,4+,0,6,16,,16218
1000710,P00110942,M,26-35,20,A,4+,0,1,2,,19121
1000710,P00263542,M,26-35,20,A,4+,0,16,,,16411
1000711,P00105342,M,26-35,18,A,4+,0,1,2,15,11786
1000712,P00144642,M,26-35,0,B,2,0,1,15,16,15401
1000713,P00277442,M,36-45,7,B,3,0,1,6,15,11957
1000714,P00003642,M,18-25,4,B,2,0,8,,,7804
1000714,P00242742,M,18-25,4,B,2,0,1,2,9,19120
1000714,P00196142,M,18-25,4,B,2,0,3,4,5,13658
1000718,P00184942,M,18-25,2,C,2,0,1,8,17,15298
1000720,P00117142,M,18-25,0,B,0,0,2,17,,9694
1000721,P00071242,F,36-45,9,B,1,0,1,15,16,11394
1000721,P00006042,F,36-45,9,B,1,0,8,16,,7956
1000721,P00177842,F,36-45,9,B,1,0,8,,,6100
1000724,P00241642,M,51-55,13,B,2,1,1,2,11,19656
1000727,P00059442,M,36-45,11,B,4+,1,6,8,16,12100
1000728,P00209842,M,26-35,6,C,4+,0,5,8,,5310
